id,created_at,text,favorite_count,retweet_count
947168686556766208,2017-12-30,b'#ICYMI: From bringing a machine back to life with a Cat Certified Rebuild to driving maximum efficiency with Job Si\xe2\x80\xa6 https://t.co/d5Sx2OsF0C',62,19
947138735518441474,2017-12-30,"b""#ICYMI: The history of Caterpillar is all about doing. Check out 9 of this year's most popular stories about produc\xe2\x80\xa6 https://t.co/Y3TXJEemMI""",60,14
947037940265472000,2017-12-30,"b'@OlivieFranco Lamentamos los problemas con su Cat Phone. Env\xc3\xadenos un mensaje directo con su email, y lo enviaremos al equipo adecuado.'",1,0
946940434995179521,2017-12-30,"b'#ICYMI: From delivering superior customer service in Algeria to turning hard work into yellow gold at CONEXPO, catc\xe2\x80\xa6 https://t.co/THLCtyHPoA'",56,12
946902430251405312,2017-12-30,b'#ICYMI: We\xe2\x80\x99ve rounded up our top stories of 2017 ... in case you missed them when they were first published.\xe2\x80\xa6 https://t.co/0lMaCFq9q8',23,7
946866952689143808,2017-12-29,"b""#ICYMI: The history of Caterpillar is all about doing. Check out 9 of this year's most popular stories about produc\xe2\x80\xa6 https://t.co/9d88Am8TyW""",48,11
946563442244227074,2017-12-29,b'#ICYMI: From bringing a machine back to life with a Cat Certified Rebuild to driving maximum efficiency with Job Si\xe2\x80\xa6 https://t.co/3jFSnD3qKH',57,16
946482163733684226,2017-12-28,"b'#ICYMI: The Caterpillar Podcast gives you the dirt on the company, the people and of course the yellow iron.\xc2\xa0Catch\xe2\x80\xa6 https://t.co/R1Pi62IEdq'",13,3
946478395159994368,2017-12-28,b'Aches &amp; pains after a long day in your #wheelloader? Tips on cab adjustment &amp; comfort features to look for in the l\xe2\x80\xa6 https://t.co/AFviCtFyd4',23,5
946439379370827777,2017-12-28,"b""#ICYMI: The history of Caterpillar is all about doing. Check out 9 of this year's most popular stories about produc\xe2\x80\xa6 https://t.co/OBqLwPpofK""",11,3
946395841216090112,2017-12-28,"b'#ICYMI: From delivering superior customer service in Algeria to turning hard work into yellow gold at CONEXPO, catc\xe2\x80\xa6 https://t.co/7RcqEHv6LH'",14,1
946378341598334976,2017-12-28,b'@DesertWaterfowl @WarrenCAT \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb Way to go!',0,0
946365890681036801,2017-12-28,b'#ICYMI: We\xe2\x80\x99ve rounded up our top stories of 2017 ... in case you missed them when they were first published.\xe2\x80\xa6 https://t.co/M8ucfCkRTP',10,2
946364129237000192,2017-12-28,"b""#ICYMI: Catch up on some of our team's greatest accomplishments in 2017. https://t.co/tMWK75tzeY https://t.co/kqwAifgNQe""",30,4
946139907327750144,2017-12-27,"b""#ICYMI: Catch up on stories about this year's biggest Caterpillar milestones and anniversaries.\xe2\x80\xa6 https://t.co/y9WxAiaqg5""",26,5
946131125151334400,2017-12-27,"b""#ICYMI: The history of Caterpillar is all about doing. Check out 9 of this year's most popular stories about produc\xe2\x80\xa6 https://t.co/rnlowYFf27""",37,12
946067677512159235,2017-12-27,b'#ICYMI: From bringing a machine back to life with a Cat Certified Rebuild to driving maximum efficiency with Job Si\xe2\x80\xa6 https://t.co/SoNobHaINW',15,3
