id,created_at,text,favorite_count,retweet_count
946795456734035969,2017-12-29,"b""This fall, @GoodHouseMag talked to our CEO, @satyanadella, and his wife, Anu, about the source of Satya's empathy -\xe2\x80\xa6 https://t.co/CxVTvAwp05""",380,107
946476820836229120,2017-12-28,"b'We teamed up with @ClemsonFB to bring their #ALLIN campus pride to students, fans, faculty and recruits on social m\xe2\x80\xa6 https://t.co/mhBdB8U8ho'",249,53
946190688474955777,2017-12-28,"b""Listen to @chriscapossela's annual discussion about all-things-Microsoft on the Windows Weekly podcast:\xe2\x80\xa6 https://t.co/iwQIEmN1sS""",149,41
946186866939764736,2017-12-28,b'Our CEO @satyanadella shared his #HitRefresh moment that helped inspire his commitment to inclusion. This was one o\xe2\x80\xa6 https://t.co/kWZ8bVj0QL',493,132
945712661269921794,2017-12-26,b'Passwords can be vulnerable. @stephgosk visited our Redmond campus to discuss the future of #cybersecurity and\xe2\x80\xa6 https://t.co/3dzl79vI89',301,140
944998983872667648,2017-12-24,b'Microsoft president @BradSmi offers learnings from the #MeToo movement - and how to turn those learnings into actio\xe2\x80\xa6 https://t.co/3XsogGqMlT',308,88
943918187267031040,2017-12-21,b'PR Daily\xe2\x80\x99s 2017 Content Marketing Awards: @MSFTnews Winners\n\nhttps://t.co/JIzRr3eQkq',128,41
943898364839542785,2017-12-21,"b""Chief people officer Kathleen Hogan shares why she's inspired by our 115,000 global employees that work to help oth\xe2\x80\xa6 https://t.co/N2Bvy4YACT""",161,54
943556614480637959,2017-12-20,"b""@jennylayfluffy You're right - it will be busy. Let's get to work. \xf0\x9f\x91\x8a""",7,1
943529652890558464,2017-12-20,"b'Our customers undergo #digitaltransformation to change the world, the game, the office\xe2\x80\x94and even your beer. https://t.co/VbvidklUVY'",170,61
942874386700427265,2017-12-18,"b'Via @Thurrott: ""Surface Laptop is gorgeous to look at, pleasant to the touch, and a joy to use.""\xe2\x80\xa6 https://t.co/xIfdLng4Vu'",278,83
942861103691841536,2017-12-18,"b'.@JennyLayFluffy, our chief accessibility officer, is helping to build a more inclusive world. Chief people officer\xe2\x80\xa6 https://t.co/GbLmyAkPV3'",203,96
941756043645788160,2017-12-15,b'Microsoft Store is using the #MicrosoftWishMachine to grant wishes that make an impact. https://t.co/XeasBuERg6',193,59
941730813745381376,2017-12-15,b'Microsoft is one of the biggest recruiters of #MBA graduates from top institutions. https://t.co/BAnkOgIXh2 via @FT https://t.co/53wnfET9fl',139,44
941155876051681285,2017-12-14,b'Be sure to tune in at 11PM to see @satyanadella on @TheDailyShow with @Trevornoah. https://t.co/zYbmTE6VCv',298,102
941111257037279233,2017-12-14,b'Set a reminder: Microsoft CEO @SatyaNadella will be on @TheDailyShow with Trevor Noah tonight at 11. https://t.co/4Q6T5VxLZ6',340,129
941084703322357760,2017-12-13,b'Microsoft research labs use AI to put numbers into perspective to help make more informed decisions. Learn how here\xe2\x80\xa6 https://t.co/odoMmV8pk4',163,58
941038823688978432,2017-12-13,"b'AI, simplified. https://t.co/tCHDtDngfx'",337,165
941022045990617089,2017-12-13,b'DeShawn Shead of the @Seahawks loves a challenge. Data and sports science helped him face recovery rehab head on. https://t.co/buboa2Huvf',96,37
940721294542118914,2017-12-12,"b'John Kahan, GM of Customer Data &amp; Analytics, turned a personal tragedy into a powerful force for good.\xe2\x80\xa6 https://t.co/eciM3KdFCR'",144,40
940714882944684033,2017-12-12,"b'@chrisbrogan Thanks, Chris \xf0\x9f\x91\x8d'",2,1
940643459261644800,2017-12-12,b'Microsoft and its partners are building the infrastructure needed to create connected societies around the world. https://t.co/F7RuEULrFg',164,59
940592958641860608,2017-12-12,b'The @Seahawks are using data and sports science to optimize player performance like never before. https://t.co/1pR4cY75Na',302,128
940385801623367681,2017-12-12,"b""Chief people officer Kathleen Hogan shares the story of Haiyan Zhang and how she's helping people write again. https://t.co/mcKypDZRew""",159,43
940377386578612226,2017-12-12,"b""The future is #quantum. We're releasing a free preview version of our Quantum Development Kit.\xe2\x80\xa6 https://t.co/PVGdAIPWKQ""",224,92
940272765419978752,2017-12-11,"b""There's still time to join 5 @NFL players in Creating Change in the community. Share your story by Dec. 12th using\xe2\x80\xa6 https://t.co/CG2ZtdhKYP""",133,26
940222364326838273,2017-12-11,"b""#AI is already transforming our lives. Now, we're investing in #AIforEarth to transform the future of our planet. https://t.co/neJ8qiy9RF""",316,151
939888458104897537,2017-12-10,b'Create a better world. https://t.co/Rc3wuLaGgB https://t.co/Low78PNYhO',1833,815
939304385330290688,2017-12-09,b'Wish big or small at a Microsoft Store this holiday season and your wish just might come true. #MicrosoftWishMachine https://t.co/zPF5DTwAC5',164,52
939297202194624513,2017-12-09,b'Einstein\xe2\x80\x99s immigration story underscores the upside of welcoming talented people from around the world to the U.S. https://t.co/TRECHugJE5',385,134
939261725089468416,2017-12-08,"b""There's still time to win: Share your Create Change story by Dec. 12 using #CreateChangeContest for the chance to w\xe2\x80\xa6 https://t.co/0NiSkSzgQD""",75,23
939251155573473280,2017-12-08,"b""Via @CIOOnline: Fortune 500 leaders share why they're using Azure to fuel #digitaltransformation within their organ\xe2\x80\xa6 https://t.co/6fenSi1SpH""",106,49
