id,created_at,text,favorite_count,retweet_count
946853098525519878,2017-12-29,"b""As 2017 draws to a close, we're looking back at some of the year's highlights. To learn more, visit\xe2\x80\xa6 https://t.co/abRrUN7Gh4""",103,33
946803674545868801,2017-12-29,"b"".@McConaughey gets it, thanks for waiting for the train to pass. Watch for @LincolnMotorCo's ad during\xe2\x80\xa6 https://t.co/okmcBRSRGp""",42,17
946502101835935744,2017-12-28,b'The sun sets on our #Engineering forces as they finish replacing 1/4-mile-long track panels on Dry Canyon Bridge in\xe2\x80\xa6 https://t.co/TZm3Abl8le',130,27
946454309990010880,2017-12-28,b'@lissameade Hi Lissa. The Stark &amp; Water intersection is about a mile from the Portland rail yard. They are required\xe2\x80\xa6 https://t.co/YxluYNCf4u',0,0
946124504027271168,2017-12-27,"b""We were proud to participate in #Chicago's annual @XmasInTheWards holiday shopping spree this year. https://t.co/ItYfEvVLen""",15,2
945293056328179712,2017-12-25,"b'Wishing you a safe, warm and happy holiday season. https://t.co/G4iZPfvRRB'",134,34
943980772352028672,2017-12-21,"b'#TBT: We helped Holiday Tree Farms in Corvallis, Oregon, deliver close to a million Christmas trees in 2016. Read m\xe2\x80\xa6 https://t.co/qCINrmVdnI'",50,19
943576403966128128,2017-12-20,"b""Congratulations to Dennis Cooksey, winner of this week's UP Trivia drawing! Dennis won our 2017 Christmas ornament.\xe2\x80\xa6 https://t.co/0KOqXaHHsL""",24,3
943252039391473664,2017-12-19,"b""The @UPRRMuseum recently opened a new exhibit highlighting UP's current operations &amp; commitment to innovation. In t\xe2\x80\xa6 https://t.co/TuOGLT3Hho""",39,8
941825915138424833,2017-12-16,b'So you think you know a lot about the #railroad? Prove it! Play UP #Trivia and enter to win. https://t.co/82O3jVCDCO',21,4
941730035022663680,2017-12-15,b'Move over Tesla and Google: Union Pacific is leading transportation innovation and big data applications. https://t.co/KCMTDxz315',135,38
940340586997051392,2017-12-11,"b""Folks traveling through Times Square in NYC Oct. 19 got a glimpse of UP's No. 1943 The Spirit Locomotive. No.1943 s\xe2\x80\xa6 https://t.co/texiELE9dE""",50,18
939241880071606272,2017-12-08,b'A snowman performs a roll-by inspection on a train crossing the international bridge out of Mexico. The unusual vis\xe2\x80\xa6 https://t.co/mIUJBbE4V8',214,67
938872507016327170,2017-12-07,"b""Congratulations to Vic Saunders, winner of this week's UP Trivia drawing! Vic won an EPOD emergency kit. Purchase y\xe2\x80\xa6 https://t.co/Cy4rMD6eep""",30,5
938169971582099456,2017-12-05,"b'""We are at the leading edge of this industry, and in some ways hanging over the edge."" https://t.co/0L7nHrkkY0'",48,15
937844795774590976,2017-12-05,"b""On 12/4/1868 @UnionPacific reached #Evanston in #TheGreatRace to Promontory. Let's celebrate! #GoldenSpike https://t.co/lhlkTecrSX""",67,32
