id,created_at,text,favorite_count,retweet_count
947165402131582977,2017-12-30,b'Take amazing sports stories with you wherever you go. @30for30 Podcasts make an excellent travel companion.\xe2\x80\xa6 https://t.co/feOpOD5WsW',33,6
946787921717288965,2017-12-29,b'.@SYSKPodcast is like an encyclopedia in your pocket. Learn how just about everything works in easy to understand a\xe2\x80\xa6 https://t.co/febNUBu7c4',71,21
946470820414619654,2017-12-28,"b""Conversations with luminaries and thought-leaders to help you through life's biggest questions on @SuperSoulSunday.\xe2\x80\xa6 https://t.co/ustuKRwzMw""",17,6
946066910789193730,2017-12-27,"b""Whether you're listening to your first podcast or looking to add to your collection, @EW's 10 Best Podcasts of 2017\xe2\x80\xa6 https://t.co/03Bw8yScBX""",44,12
945717105391030273,2017-12-26,b'What was everyone listening to in 2017? Explore the new and classic shows that rose to the top of our charts this y\xe2\x80\xa6 https://t.co/5pG0AEsgKC',17,4
944998615499624448,2017-12-24,"b'Meet the ""Tree People\xe2\x80\x9d of New York.\n@NocturnePodcast explores what it\xe2\x80\x99s like to guard a Christmas tree stand on the\xe2\x80\xa6 https://t.co/sg6Eawl7Vw'",17,7
944677749368770562,2017-12-23,b'Could you give up flying to preserve the environment? #TerrestrialPod by @KUOW looks at the impact of air travel.\xe2\x80\xa6 https://t.co/hFCXNphRkA',12,6
944614836440354817,2017-12-23,b'Get your #HolidayCooking inspiration. Plan an impressive menu with the help of these podcasts.\xe2\x80\xa6 https://t.co/6wA4CJgGYI',10,4
944304037683449856,2017-12-22,b'.@kumailn &amp; @emilyvgordon discuss what it took to turn their life story into the movie #TheBigSick on The Moment wi\xe2\x80\xa6 https://t.co/ihNL0VEcYX',15,4
944254969787682823,2017-12-22,"b'Binge the #truecrime sensation, #DirtyJohn, during your holiday travels. 6 hours of pure in-flight suspense and ent\xe2\x80\xa6 https://t.co/zFpAGAr2JZ'",10,1
943998275509682177,2017-12-22,"b'Food can have special, even emotional connections to our past. Join the cast of #MouthFeelings each week to share a\xe2\x80\xa6 https://t.co/YaDPzLR3qJ'",8,1
943906453785542657,2017-12-21,"b""The Christmas is Coming! podcast is an advent calendar audio adventure.\nOne story told over 24 episodes that's as b\xe2\x80\xa6 https://t.co/qYsk8bdlYW""",35,18
943604427260342274,2017-12-20,b'What does it take to make it to the Supreme Court? Justice Anthony Kennedy talks about his early life and his path\xe2\x80\xa6 https://t.co/LGhrqyF4pg',13,1
943529451664609280,2017-12-20,b'RIP Combat Jack. We\xe2\x80\x99ll miss you. https://t.co/oXPKjPjgbL',403,191
943240789676654593,2017-12-19,"b""Experience what it's like to go undercover on @TEDRadioHour. Guest speakers talk about how they use deception and s\xe2\x80\xa6 https://t.co/avu76nQMnA""",8,7
943179137992323072,2017-12-19,"b""As this year comes to a close, @CFR_org looks ahead to the biggest issues we'll face in 2018.\xe2\x80\xa6 https://t.co/uaeW3x8Whe""",9,4
942804162231914496,2017-12-18,b'Heading out on a family road trip? Bring along a podcast sure to entertain the kids and kids-at-heart. \xf0\x9f\x90\xb6\xf0\x9f\x8e\x99\xf0\x9f\x90\xb1\nThis Pod\xe2\x80\xa6 https://t.co/ZATb08435D',19,5
942488323003731969,2017-12-17,b'Learn why being an infinite learner can have great career benefits in a 2-part conversation with media icon Barry D\xe2\x80\xa6 https://t.co/HDfz3TQeyV',36,13
942095738489769986,2017-12-16,b'StartupBus is a fun mix of a reality competition and launching a new business. This 5-part series by\xe2\x80\xa6 https://t.co/xQnLj2H9Gm',41,12
941806343320686593,2017-12-15,b'A Gulf War veteran opens up about how his experiences and PTSD have affected him on a powerful episode of\xe2\x80\xa6 https://t.co/C5w0zpu7xl',18,9
941669197607731201,2017-12-15,"b'A Tribute to Raj Kapoor is an homage to the greatest showman of Indian cinema, hosted by Salim Khan. Listen now.\xe2\x80\xa6 https://t.co/5jJeb3bbru'",10,1
941460301882503169,2017-12-15,"b'On two moving, emotional episodes of @StoryCorps: A father sits down with the man who killed his son and 2 parents\xe2\x80\xa6 https://t.co/oWLqDy0Qye'",15,6
941399904894816256,2017-12-14,b'.@KenJennings of Jeopardy fame &amp; @johnroderick from The Long Winters are recording and collecting strange-but-true\xe2\x80\xa6 https://t.co/m1nzzpmkX6',51,13
941099171859312640,2017-12-14,b'Brothers fighting in the Pacific during World War II wrote hundreds of letters to each other. #LettersFromWar bring\xe2\x80\xa6 https://t.co/iYueu9BZ6U',15,5
940997251949883392,2017-12-13,b'Get to know the @RollingStones in their first official podcast!\n@matteveritt sits down with @MickJagger &amp;\xe2\x80\xa6 https://t.co/o78idiG6Qy',79,22
940748115547774976,2017-12-13,b'20 strangers on a bus with one lofty goal: Build and launch companies from inside the bus. @podcaststartup presents\xe2\x80\xa6 https://t.co/f6P8M7Btev',20,4
940359294905667585,2017-12-11,b'Check out the cover artwork for @Atlanta_Monster. Subscribe for free now to be among the first to listen January 5.\xe2\x80\xa6 https://t.co/GKdy5vlYGf',38,14
940357720678588416,2017-12-11,"b'.@Atlanta_Monster, a new #truecrime story from the creators of @upandvanished &amp; @HowStuffWorks. Coming January 5.\xe2\x80\xa6 https://t.co/oFysBN7G6U'",82,29
940268702179778560,2017-12-11,"b""Whether you're listening to your first podcast or looking to add to your collection, @EW's 10 Best Podcasts of 2017\xe2\x80\xa6 https://t.co/lSdFT9Gfaq""",10,6
939950351268171787,2017-12-10,"b""Familiar voices, chart staples, and new fresh perspectives all topped our charts in 2017. These are the year's most\xe2\x80\xa6 https://t.co/GCidUkkk4R""",19,7
939555258593837056,2017-12-09,"b'Stories of World War II told from a unique perspective, hundreds of letters between brothers.\n#LettersFromWar by\xe2\x80\xa6 https://t.co/wTYN2uKAd3'",17,13
939272135566090241,2017-12-08,"b""Find your new favorite podcast. @EW's 10 Best Podcasts of 2017 has something for everyone.\nListen for free:\xe2\x80\xa6 https://t.co/BUHyPbEALV""",24,6
938909745527902208,2017-12-07,"b'The Indicator is a short-form podcast about big a idea, number, or term from the creators of @planetmoney.\xe2\x80\xa6 https://t.co/odM1hFgfJu'",18,9
938868221867802624,2017-12-07,b'From binge sensations to laugh out loud entertainment these are the podcasts that made our top charts this year.\xe2\x80\xa6 https://t.co/uoi6sd9D7S',42,24
938562457076891648,2017-12-07,b'.@Caitlyn_Jenner shares her incredible story on INDUSTRY STANDARD with @BarryKatz.\nhttps://t.co/tuAqfexAG7 https://t.co/E0PdRrDnpT',6,2
938499543502610432,2017-12-06,"b""If are looking for your first podcast or have been listening for years, @EW's 10 Best Podcasts of 2017 has somethin\xe2\x80\xa6 https://t.co/xoIhaaKOfs""",30,5
938477099001765894,2017-12-06,"b'.@birbigs is celebrating his new comedy tour with a podcast, The Old Ones!\nSpecial guests include @mulaney\xe2\x80\xa6 https://t.co/ofDl0NWeTL'",76,17
938173649202438144,2017-12-05,b'Actress @jessicaalba co-founded @Honest in 2011. Hear her remarkable story on #BossFiles with @PoppyHarlowCNN.\xe2\x80\xa6 https://t.co/eBP5pgTLmi',27,4
938113252340518912,2017-12-05,b'What happens when a dog and a cat have competing podcasts? \xf0\x9f\x90\xb6\xf0\x9f\x8e\x99\xf0\x9f\x90\xb1\nFind out on This Podcast Has Fleas by @WNYCKids star\xe2\x80\xa6 https://t.co/gNtqvmh5tS',14,2
937833914558709760,2017-12-05,"b""Listen to all of @EW's 10 Best Podcasts of 2017 for free and find your new favorite on Apple Podcasts.\xe2\x80\xa6 https://t.co/Any0dptkE5""",12,7
