Date,AAPL,CAT,COST,DE,GS,HD,MMM,MSFT,TSLA,UNP
2017-01-03,116.15,93.99,159.73,104.05,241.57,134.31,178.05,62.58,216.99,102.52
2017-01-04,116.02,93.57,159.76,105.82,243.13,135.5,178.32,62.3,226.99,103.14
2017-01-05,116.61,93.0,162.91,105.35,241.32,133.9,177.71,62.3,226.75,102.13
2017-01-06,117.91,93.04,162.83,106.49,244.9,133.53,178.23,62.84,229.01,103.19
2017-01-09,118.99,92.37,160.97,105.19,242.89,134.31,177.27,62.64,231.28,102.42
2017-01-10,119.11,93.83,161.66,104.89,242.57,136.1,176.58,62.62,229.87,103.42
2017-01-11,119.75,94.65,161.54,105.71,245.76,135.7,177.89,63.19,229.73,104.27
2017-01-12,119.25,93.99,161.87,105.17,243.84,135.07,177.44,62.61,229.59,104.7
2017-01-13,119.04,94.48,161.86,105.79,244.3,135.04,177.39,62.7,237.75,105.25
2017-01-17,120.0,93.57,163.81,104.34,235.74,135.93,177.26,62.53,235.58,103.37
2017-01-18,119.99,93.33,164.27,105.24,234.29,136.16,178.49,62.5,238.36,103.77
2017-01-19,119.78,93.38,163.7,105.02,231.41,135.39,178.68,62.3,243.76,106.24
2017-01-20,120.0,94.58,164.24,106.74,232.2,135.6,178.49,62.74,244.73,108.6
2017-01-23,120.08,94.46,163.01,107.12,232.67,138.07,178.51,62.96,248.92,107.99
2017-01-24,119.97,96.24,163.67,107.67,233.68,138.06,175.97,63.52,254.61,108.72
2017-01-25,121.88,98.15,164.14,108.06,237.25,137.48,176.73,63.68,254.47,110.42
2017-01-26,121.94,97.22,164.07,107.63,239.58,138.46,176.82,64.27,252.51,110.15
2017-01-27,121.95,98.99,162.06,107.99,236.95,138.33,177.48,65.78,252.95,109.2
2017-01-30,121.63,96.79,163.25,107.06,233.9,138.47,175.42,65.13,250.63,108.0
2017-01-31,121.35,95.66,163.95,107.05,229.32,137.58,174.82,64.65,251.93,106.58
2017-02-01,128.75,95.11,161.86,107.15,230.67,137.44,175.17,63.58,249.24,107.7
2017-02-02,128.53,93.77,168.15,107.43,230.41,136.95,174.18,63.17,251.55,107.3
2017-02-03,129.08,93.28,168.32,107.99,240.95,137.98,175.04,63.68,251.33,108.51
2017-02-06,130.29,92.87,167.03,108.06,239.98,136.49,175.1,63.64,257.77,107.69
2017-02-07,131.53,93.31,167.52,108.76,239.62,136.65,175.76,63.43,257.48,107.65
2017-02-08,132.04,92.91,168.42,108.41,237.73,137.88,177.07,63.34,262.08,107.34
2017-02-09,132.42,93.96,170.96,109.12,241.55,138.71,178.18,64.06,269.2,107.42
2017-02-10,132.12,96.31,172.0,110.24,242.72,139.85,179.0,64.0,269.23,107.87
2017-02-13,133.29,98.5,171.96,110.75,246.27,139.87,181.02,64.72,280.6,108.32
2017-02-14,135.02,98.09,173.63,110.05,249.46,141.36,181.6,64.57,280.98,109.16
2017-02-15,135.51,99.02,175.0,109.12,250.54,142.19,181.7,64.53,279.76,109.78
2017-02-16,135.34,98.26,175.75,109.17,249.44,141.54,183.41,64.52,268.95,109.39
2017-02-17,135.72,98.85,175.86,110.27,250.38,143.0,182.95,64.62,272.23,109.82
2017-02-21,136.7,98.1,176.94,109.61,251.76,145.02,183.37,64.49,277.39,109.67
2017-02-22,137.11,98.2,176.51,109.65,251.73,145.25,186.04,64.36,273.51,108.87
2017-02-23,136.53,95.55,175.85,107.73,251.19,144.71,187.19,64.62,255.99,106.7
2017-02-24,136.66,95.48,177.56,108.62,247.35,145.95,187.41,64.62,257.0,107.74
2017-02-27,136.93,97.44,177.62,109.51,249.33,145.3,186.91,64.23,246.23,107.5
2017-02-28,136.99,96.66,177.18,109.49,248.06,144.91,186.35,63.98,249.99,107.94
2017-03-01,139.79,98.58,177.86,111.22,252.71,146.68,189.86,64.94,250.02,110.11
2017-03-02,138.96,94.36,177.98,109.54,251.06,147.95,189.89,64.01,250.48,109.05
2017-03-03,139.78,95.12,170.26,110.83,252.89,147.81,189.31,64.25,251.57,109.02
2017-03-06,139.34,95.66,166.73,110.84,252.01,147.13,188.9,64.27,251.21,109.43
2017-03-07,139.52,95.93,167.0,110.24,250.9,146.02,189.09,64.4,248.59,108.36
2017-03-08,139.0,93.23,166.24,110.47,250.24,146.92,189.51,64.99,246.87,106.71
2017-03-09,138.68,91.39,165.77,109.58,250.18,146.62,189.9,64.73,244.9,106.18
2017-03-10,139.14,92.31,165.37,109.92,248.38,146.85,191.21,64.93,243.69,106.28
